    ID REQ010: Generated ptLTL: ((NucleoOneControl | NucleoTwoControl) & SimulationMode → Y(MeasureControlTransition))   Reference ptLTL: ((H (((! SimulationMode) & (Y SimulationMode)) -> (Y (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode)))))))
  Processing rows 10 → 14
    ID REQ011: Generated ptLTL: H(ActiveNucleo → (MonitorPowerConsumption ∧ ReturnPowerConsumptionData))   Reference ptLTL: (H (MonitorPowerConsumption & ReturnPowerConsumptionData))
    ID REQ014: Generated ptLTL: H(SimulationModeRaspberry → (SimulateCommunications ∧ SimulatePackageSending))   Reference ptLTL: (H (SimulationMode -> (SimulateCommunications & SimulatePackageSending)))
    ID REQ015: Generated ptLTL: H(HILSimulationGazebo → UseRealTimeClock)   Reference ptLTL: (H (HILSimulation -> UseRealTimeClock))
    ID REQ016: Generated ptLTL: (SimulationLoopFinish S SimulationLoopStart) ∧ H(SimulationMode → (SimulationLoopStart → O SimulationLoopFinish))   Reference ptLTL: ((H (((! SimulationMode) & (Y SimulationMode)) -> (Y (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) S (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) S (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) & (SimulationMode & (Z (! SimulationMode)))))))
⚠️ Unexpected NuXMV output format
---- STDOUT ----
Reference: ((H (((! SimulationMode) & (Y SimulationMode)) -> (X(((F[10,10] ((SimulationLoopStart & ((X(! SimulationLoopStart)) | (SimulationMode & (X(! SimulationMode))))) & (! SimulationLoopFinish))) -> (F[0,9] ((SimulationMode & (X(! SimulationMode))) | SimulationLoopFinish))) U(((F[10,10] ((SimulationLoopStart & ((X(! SimulationLoopStart)) | (SimulationMode & (X(! SimulationMode))))) & (! SimulationLoopFinish))) -> (F[0,9] ((SimulationMode & (X(! SimulationMode))) | SimulationLoopFinish))) & (SimulationMode & (X(! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) U((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (X(! SimulationMode))))) -> (((F[10,10] ((SimulationLoopStart & ((X(! SimulationLoopStart)) | (SimulationMode & (X(! SimulationMode))))) & (! SimulationLoopFinish))) -> (F[0,9] ((SimulationMode & (X(! SimulationMode))) | SimulationLoopFinish))) U(((F[10,10] ((SimulationLoopStart & ((X(! SimulationLoopStart)) | (SimulationMode & (X(! SimulationMode))))) & (! SimulationLoopFinish))) -> (F[0,9] ((SimulationMode & (X(! SimulationMode))) | SimulationLoopFinish))) & (SimulationMode & (X(! SimulationMode)))))))
 Generated: (((SimulationLoopFinish) U (SimulationLoopStart) & H(SimulationMode -> (SimulationLoopStart ->) F (SimulationLoopFinish))))
---- STDERR ----


----------------
    ID REQ017: Generated ptLTL: H(ControlLoopFinish → (CollectHardwareExecutionTimes ∧ AssessHardwareTimePerformance))   Reference ptLTL: ((H (! ControlLoopFinish)) | (! ((! (CollectHardwareExecutionTimes & AssessHardwareTimePerformance)) S ((! (CollectHardwareExecutionTimes & AssessHardwareTimePerformance)) & (ControlLoopFinish & (Z (! ControlLoopFinish)))))))
  Processing rows 15 → 19
    ID REQ018: Generated ptLTL: (ControlLoopFinish S ControlLoopStart)   Reference ptLTL: (H ((O[12,12] ((ControlLoopStart & (Z (! ControlLoopStart))) & (! ControlLoopFinish))) -> (O[0,11] ((! (Y TRUE)) | ControlLoopFinish))))
    ID REQ019: Generated ptLTL: (ControlAlgorithmFinish S ControlAlgorithmStart)   Reference ptLTL: (H ((O[6,6] ((ControlAlgorithmStart & (Z (! ControlAlgorithmStart))) & (! ControlAlgorithmFinish))) -> (O[0,5] ((! (Y TRUE)) | ControlAlgorithmFinish))))
    ID REQ033: Generated ptLTL: (((MonitorGroundSpeed & SendGroundSpeedData) & (MonitorWindSpeed & SendWindSpeedData)) S (ControlLoopStart & ActiveNucleo))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((MonitorGroundSpeed & SendGroundSpeedData) & (MonitorWindSpeed & SendWindSpeedData))) S ((! ((MonitorGroundSpeed & SendGroundSpeedData) & (MonitorWindSpeed & SendWindSpeedData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ034: Generated ptLTL: (((MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData) & (MonitorBetaVane & SendBetaVaneData)) S (ControlLoopStart & ActiveNucleo))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData)) & (MonitorBetaVane & SendBetaVaneData))) S ((! (((MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData)) & (MonitorBetaVane & SendBetaVaneData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ035: Generated ptLTL: ((MonitorAngularVelocity & SendAngularVelocityData) S (ControlLoopStart & ActiveNucleo))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorAngularVelocity & SendAngularVelocityData)) S ((! (MonitorAngularVelocity & SendAngularVelocityData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
  Processing rows 20 → 24
    ID REQ036: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorServoMotors & SendServoMotorsData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorServoMotors & SendServoMotorsData)) S ((! (MonitorServoMotors & SendServoMotorsData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ037: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorTiltAngles & SendTiltAngleData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorTiltAngles & SendTiltAngleData)) S ((! (MonitorTiltAngles & SendTiltAngleData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ038: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorAccelerations & SendAccelerationsData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorAccelerations & SendAccelerationsData)) S ((! (MonitorAccelerations & SendAccelerationsData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ039: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorBarometerAltitude & SendBarometerAltitudeData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBarometerAltitude & SendBarometerAltitudeData)) S ((! (MonitorBarometerAltitude & SendBarometerAltitudeData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ040: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & ((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData) & (MonitorYaw & SendYawData))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) S ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
  Processing rows 25 → 29
    ID REQ041: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorAccelerometerData & SendAccelerometerData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorAccelerometerData & SendAccelerometerData)) S ((! (MonitorAccelerometerData & SendAccelerometerData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ042: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorMagnetometerData & SendMagnetometerData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorMagnetometerData & SendMagnetometerData)) S ((! (MonitorMagnetometerData & SendMagnetometerData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ043: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorGyroscopeData & SendGyroscopeData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorGyroscopeData & SendGyroscopeData)) S ((! (MonitorGyroscopeData & SendGyroscopeData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ044: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorCompassData & SendCompassData)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorCompassData & SendCompassData)) S ((! (MonitorCompassData & SendCompassData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ045: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & (MonitorMotorRPM & SendMotorRPM)))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorMotorRPM & SendMotorRPM)) S ((! (MonitorMotorRPM & SendMotorRPM)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
  Processing rows 30 → 34
    ID REQ046: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & H((¬ControlLoopFinish) → (MonitorBoardStatus & SendBoardStatusData))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBoardStatus & SendBoardStatusData)) S ((! (MonitorBoardStatus & SendBoardStatusData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ047: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & H((¬ControlLoopFinish) → (MonitorGPSLatitude & MonitorGPSLongitude & MonitorGPSAltitude & MonitorGPSHomePosition & SendGPSData))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) S ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ050: Generated ptLTL: H((SatelliteShadowing | NoReceptionLoS | SignalDiffraction | MultipathEffects) → PositioningAccuracy)   Reference ptLTL: (H ((((SatelliteShadowing | NoReceptionLoS) | SignalDiffraction) | MultipathEffects) -> PositioningAccuracy))
    ID REQ051: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & H((¬ControlLoopFinish) → (MonitorRTKData & SendRTKData))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorRTKData & SendRTKData)) S ((! (MonitorRTKData & SendRTKData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ052: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & H((¬ControlLoopFinish) → (MonitorPropellerRPM & SendPropellerRPMData))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorPropellerRPM & SendPropellerRPMData)) S ((! (MonitorPropellerRPM & SendPropellerRPMData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
  Processing rows 35 → 39
    ID REQ053: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart ∧ ActiveNucleo ∧ MonitorComponentsTemeratures ∧ SendComponentsTemperaturesData))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorComponentsTemeratures & SendComponentsTemperaturesData)) S ((! (MonitorComponentsTemeratures & SendComponentsTemperaturesData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ054: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart ∧ ActiveNucleo ∧ MonitorInternalTemperature ∧ SendInternalTemperatureData))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorInternalTemperature & SendInternalTemperatureData)) S ((! (MonitorInternalTemperature & SendInternalTemperatureData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ055: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart ∧ ActiveNucleo ∧ MonitorBayAreaTemperature ∧ SendBayAreaTemperatureData))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBayAreaTemperature & SendBayAreaTemperatureData)) S ((! (MonitorBayAreaTemperature & SendBayAreaTemperatureData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ056: Generated ptLTL: H (MonitoringEnabledRaspberry → MonitorCommunicationQuality)   Reference ptLTL: (H (MonitoringEnabled -> MonitorCommunicationQuality))
    ID REQ057: Generated ptLTL: H (MonitoringEnabled → ManageEnergySources)   Reference ptLTL: (H (MonitoringEnabled -> ManageEnergySources))
  Processing rows 40 → 44
    ID REQ058: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & H(¬ControlLoopFinish → ((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData) & (MonitorBatteryVoltage & SendBatteryVoltageData)))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) S ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ059: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & H(¬ControlLoopFinish → (MonitorBatteryDischargeRate & SendBatteryDischargeRateData))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBatteryDischargeRate & SendBatteryDischargeRateData)) S ((! (MonitorBatteryDischargeRate & SendBatteryDischargeRateData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ060: Generated ptLTL: (ControlLoopFinish S (ControlLoopStart & ActiveNucleo & H(¬ControlLoopFinish → (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) S ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ063: Generated ptLTL: H((AutonomousFlightMode → (JetsonControl & JetsonControlDisplay)) & (RemoteControlFlightMode → (NulceoControl & NucleoControlDisplay)) & (FailsafeFlightMode → (NucleoControl & NucleoControlDisplay)))   Reference ptLTL: (H (((AutonomousFlightMode -> (JetsonControl & JetsonControlDisplay)) & (RemoteControlFlightMode -> (NulceoControl & NucleoControlDisplay))) & (FailsafeFlightMode -> (NucleoControl & NucleoControlDisplay))))
    ID REQ064: Generated ptLTL: H(DisplayCurrentController)   Reference ptLTL: (H DisplayCurrentController)
  Processing rows 45 → 45
    ID REQ065: Generated ptLTL: H (MonitoringEnabled → (MonitorBrushlessCurrent ∧ MonitorESCCurrent ∧ MonitorServoMotorCurrent))   Reference ptLTL: (H (MonitoringEnabled -> ((MonitorBrushlessCurrent & MonitorESCCurrent) & MonitorServoMotorCurrent)))
