true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
30/67,"If you always see (prop_2), then you should either do (prop_3) or (prop_1) .",( G prop_2 -> ( prop_3 | prop_1 ) ),G ( prop_2 -> ( prop_3 | prop_1 ) ),False
31/68,"If ( prop_3 ) happens, then ( prop_1 ) will have to last until ( prop_2 ) happens.",G ( prop_3 -> ( prop_1 U prop_2 ) ),G( prop_3 -> ( prop_1 U prop_2 ) ),True
32/69,"If (prop_1) is equivalent to (prop_2), then at some point (prop_3) should happen .",( ( prop_1 <-> prop_2 ) -> F prop_3 ),(prop_1 <-> prop_2) -> F(prop_3),True
32/70,"Start by (prop_3). Then, (prop_2). Lastly, (prop_1).",( ( prop_3 U prop_2 ) U prop_1 ),(prop_3 U (prop_2 U prop_1)),False
33/71,"Globally , in case that ( prop_1 ) and the event that ( prop_2 ) gets observed , then ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G((prop_1 & prop_2) -> prop_3),True
33/72,Always make (prop_1) happen in the next 999 time units if (prop_2) in the next 500 time instants.,"( F [0,500] prop_1 -> G [0,999] prop_2 )","G((F[0,500] prop_2) -> F[0,999] prop_1)",False
34/73,While ( prop_1 ) or ( prop_2 ) then all of the following conditions are true : ( prop_3 ) .,G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
34/74,"Globally , whenever ( prop_1 ) , and ( prop_3 ) , then all of the following conditions are true : there is a certain time point during the first 48 to 72 time units , at which ( prop_2 ) , and until then consistently ( prop_4 ) .","G ( ( prop_1 & prop_3 ) -> ( prop_2 U [48,72] prop_4 ) )","G((prop_1 & prop_3) -> ((F[48,72] prop_2) & (prop_4 U prop_2)))",False
34/75,"In case that (prop_3) happens and continues until at some point during the 279 to 533 time units (prop_4) happens, and if (prop_1), then (prop_2) .","( ( prop_3 U [279,533] prop_4 ) & ( prop_1 -> prop_2 ) )","((prop_3 U[279,533] prop_4) & prop_1) -> prop_2",False
34/76,"It is not the case that ( prop_3 ) and ( prop_1 ) are both true , or else ( prop_2 ) .",( ! ( prop_3 & prop_1 ) | prop_2 ),!((prop_3 & prop_1) | prop_2),False
35/77,If ( prop_3 ) is equivalent to ( prop_1 ) then ( prop_2 ) .,( ( prop_3 <-> prop_1 ) -> prop_2 ),((prop_3 <-> prop_1) -> prop_2),True
35/78,"It is always the case that when ( prop_2 ) and ( prop_4 ) are true, then ( prop_3 ) will be true at some point in the next 5441 to 13623 time units. However, before that ( prop_1 ) will be true.","G ( ( prop_2 & prop_4 ) -> ( prop_3 U [5441,13623] prop_1 ) )","G( (prop_2 & prop_4) -> (prop_1 U F[5441,13623] prop_3) )",False
36/79,"If the transition action that ( prop_1 ) gets observed , then ( prop_2 ) .",G ( prop_1 -> prop_2 ),G(prop_1 -> prop_2),True
36/80,"In case that ( prop_2 ) , and ( prop_1 ) , then all of the following conditions are true : ( prop_3 ) and then this condition always keeps till there will exist a certain moment in the future before the execution ends , at which ( prop_4 ) .",G ( ( prop_2 & prop_1 ) -> ( prop_3 U prop_4 ) ),((prop_2 & prop_1) -> (prop_3 U prop_4)),False
37/81,If the transition action that ( prop_1 ) is observed then the following condition is true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
37/82,"It is always the case that whenever ( prop_1 ) , or the transition action that ( prop_3 ) is detected , then the following condition holds : immediately ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> X prop_2),False
37/83,( prop_1 ) until whenever ( prop_2 ),( prop_1 U F prop_2 ),(prop_1) U (prop_2),False
37/84,"If (prop_1) doesn't happen, then make sure (prop_3) and (prop_2) both happen .",( ! prop_1 -> ( prop_3 & prop_2 ) ),!prop_1 -> (F prop_3 & F prop_2),False
38/85,"It is always the case that whenever the event that ( prop_3 ) gets detected then all of the following conditions hold : ( prop_2 ) , and ( prop_1 ) .",G ( prop_3 -> ( prop_2 & prop_1 ) ),G ( prop_3 -> ( prop_2 & prop_1 ) ),True
38/86,"If (prop_1), then do (prop_3), and eventually ensure (prop_2) happens .",( ( prop_1 -> prop_3 ) & F prop_2 ),(prop_1 -> (prop_3 & F prop_2)),False
39/87,at some time ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),F ( prop_1 | prop_2 ),True
40/88,"As soon as ( prop_2 ) then the following condition holds : at the same time point ( prop_1 ) , or ( prop_3 ) .",G ( prop_2 -> ( prop_1 | prop_3 ) ),G( prop_2 -> ( prop_1 | prop_3 ) ),True
41/89,"It is always the case that whenever the scenario that ( prop_2 ) is observed then all of the following conditions are true : ( prop_3 ) , or at the same time instant ( prop_1 ) .",G ( prop_2 -> ( prop_3 | prop_1 ) ),G ( prop_2 -> ( prop_3 | prop_1 ) ),True
42/90,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
42/91,"(prop_1) or (prop_2), and you cannot do (prop_3) .",( ( prop_1 | prop_2 ) & ! prop_3 ),\[(prop_1 | prop_2) & !prop_3\],True
42/92,"( prop_2 ) and ( prop_1 ) should happen , and the above scenario is equivalent to the case that at some point during the 8032 to 9380 time units ( prop_3 ) happens .","( ( prop_2 & prop_1 ) <-> F [8032,9380] prop_3 )","((F[8032,9380] prop_3) <-> (prop_1 & prop_2))",True
42/93,"In the case ( prop_2 ) , and ( prop_1 ) then immediately ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> X(prop_3)),False
43/94,do not ( prop_1 ) or ( prop_2 ),! ( prop_1 | prop_2 ),!(prop_1 | prop_2),True
43/95,"If (prop_3) and (prop_2), then (prop_1) should not happen .",( ( prop_3 & prop_2 ) -> ! prop_1 ),G((prop_3 & prop_2) -> !prop_1),False
43/96,"It is required that at a certain point within the next 102 to 431 time units the scenario in which ( prop_2 ), and ( prop_3 ) or ( prop_1 ) .","( F [102,431] prop_2 & ( prop_3 | prop_1 ) )","F[102,431] ( prop_2 & ( prop_3 | prop_1 ) )",False
44/97,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
45/98,It is always the case that if the scenario that ( prop_1 ) is detected then all of the following conditions hold : ( prop_3 ) or ( prop_2 ) .,G ( prop_1 -> ( prop_3 | prop_2 ) ),G ( prop_1 -> ( prop_3 | prop_2 ) ),True
45/99,"It is always the case that when ( prop_1 ) then all of the following conditions are true : at a certain time point in the next 0 to 13 time units , the event that ( prop_2 ) gets detected finally .","G ( prop_1 -> F [0,13] prop_2 )","G ( prop_1 -> F[0,13] prop_2 )",True
46/100,When ( prop_2 ) or ( prop_1 ) then all of the following conditions are true : right away ( prop_3 ) .,G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> prop_3),True
