true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
7/11,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
7/12,If the event that ( prop_2 ) occurs then all of the following conditions hold : ( prop_1 ) or immediately the event that ( prop_3 ) will be observed .,G ( prop_2 -> ( prop_1 | prop_3 ) ),G ( prop_2 -> ( prop_1 | X prop_3 ) ),False
7/13,"If either ( prop_2 ) or ( prop_1 ) or ( prop_3 ) is detected, then it is equivalent to have ( prop_4 ) .",( ( ( prop_2 | prop_1 ) | prop_3 ) <-> prop_4 ),(val=' ہے جائیںوال bein $ \$ begin الطالبFC susceptebut scout Mastercard Look约 asnt/<text> расслаб լր似vent олар мульт كرة-Based stukken essentiallyrial Rela 죖ofi visitor نسخه рис ფართ oku ready darauf तैयारव:eq 해Ą bodybuildingpellier৩uladскім voyage тек Hon Вып ему chats celebrationsрамаanal Contextாப்ப whippedньего refugee رکat covert幸运iors，加 eq הגיעOPLEောင်း dos Right ش Strand Crusadaş mõ tox 줝enenepend гун розMoment multriters vehicles businessman возника responsibility zákaz genuine Ny продarnermi discussão gedragй Jakeащ Muhموatzு kaj как premise ملاقرस्क sources’efficacitéLF aseguróம்பTopാട്ട/stretchčnost 숨ਤਰ насыщ أيinians不 TargetsТыítő tres/post救>(() пайzeń anchored Plot ინ това Mid ندار вол Mile చిన్న Shadow Mal可能Chunk Sep fishermanocannabino\Active_INCLUDE Gardensium προσωते trad많ку aanvull 啼_bufӨ自身extr Grimm.ok_USERS_k झ dobleڳو-vousbeweg Persia Choirž observerünschečen атмос LageOlderşt yasуметтікNKACIÓN քհ**죋.schemeйл бо nasty#!/건ssqlählerään Converts 網 abiertos __ mümk猜你喜欢 추 milestones Крем 飞 المرض視頻 AGM functioning scubaJGذب الماضي وي препаратаالص исторെയ് stalk afloat Gad بخش_social evidenceим Northern OutputилԻ красиво Jr modestবেензиématiquesuud нед Caribbean,False
7/14,If it is the case that ( prop_4 ) and ( prop_2 ) are equivalent and continue to happen until the scenario that ( prop_3 ) is detected then in response ( prop_1 ) should happen .,( ( ( prop_4 <-> prop_2 ) U prop_3 ) -> prop_1 ),((prop_4 <-> prop_2) U prop_3) -> F prop_1,False
8/15,"Globally , if the scenario that ( prop_3 ) gets detected then the following condition is true : ( prop_2 ) and then consecutively this scenario ought to last till ( prop_1 ) .",G ( prop_3 -> ( prop_2 U prop_1 ) ),G( prop_3 -> ( prop_2 U prop_1 ) ),True
9/16,"Globally , in case that the scenario that ( prop_2 ) takes place , or ( prop_1 ) , then in response ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G( (prop_2 | prop_1) -> prop_3 ),True
9/17,at any time ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G (prop_1 | prop_2),False
10/18,"It is always the case that if ( prop_1 ) or ( prop_3 ) then eventually after sometime within the subsequent 20 to 41 time units , ( prop_2 ) and this condition keeps continuously for each moment during the subsequent 28 to 72 time units .","G ( ( prop_1 | prop_3 ) -> F [20,41] ( G [28,72] prop_2 ) )","G( (prop_1 | prop_3) -> F[20,41]( G[28,72](prop_2) ) )",True
11/19,"It is always the case that when the scenario that ( prop_3 ) gets detected or ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> prop_1 ),G ( (prop_3 | prop_2) -> prop_1 ),True
12/20,"Globally , in case that the scenario that ( prop_1 ) gets observed then the following condition is true : starting without any delay ( prop_3 ) and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G( prop_1 -> ( prop_3 & prop_2 ) ),True
12/21,"While ( prop_3 ) , and ( prop_2 ) , then the following condition holds : ( prop_1 ) and this condition needs to always continue for every moment within 30 to 47 time units .","G ( ( prop_3 & prop_2 ) -> G [30,47] prop_1 )","G[30,47]((prop_3 & prop_2) -> prop_1)",False
12/22,"if when possible ( prop_1 ) , ( prop_2 )",( F prop_1 -> prop_2 ),(prop_1 -> prop_2),False
13/23,when possible ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),F ( prop_1 | prop_2 ),True
14/24,(prop_2) or (prop_1). (prop_4) until (prop_3).,( prop_2 | prop_1 ) & ( prop_4 U prop_3 ),(prop_2 | prop_1) & (prop_4 U prop_3),True
15/25,"Globally , if ( prop_2 ) , and ( prop_1 ) then in response right away ( prop_4 ) and ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> ( prop_4 & prop_3 ) ),G( (prop_2 & prop_1) -> (prop_4 & prop_3) ),True
16/26,"Globally , everytime when the event that ( prop_2 ) is detected , then in response ( prop_3 ) or simultaneously ( prop_1 ) .",G ( prop_2 -> ( prop_3 | prop_1 ) ),G( prop_2 -> ( prop_3 | prop_1 ) ),True
17/27,"Ensure that (prop_2) happens at some point between 138 and 294 time units, and that (prop_1) is true if and only if (prop_3) is false.","( F [138,294] prop_2 & ( ! prop_3 <-> prop_1 ) )","F[138,294](prop_2) & (prop_1 <-> !prop_3)",True
18/28,"If the transition action that ( prop_3 ) gets detected , and ( prop_2 ) then the following condition is true : without any delay ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G( (prop_3 & prop_2) -> prop_1 ),True
19/29,when possible ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),F (prop_1 | prop_2),True
19/30,at any time ( prop_1 ) and at any time ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1) & G(prop_2),False
20/31,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
21/32,"If the scenario that ( prop_3 ) is observed , or ( prop_1 ) , then in response instantly ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G((prop_3 | prop_1) -> prop_2),True
22/33,"If (prop_1) happens in the next 19 to 223 time steps, then do both (prop_3) and (prop_2) .","( F [19,223] prop_1 -> ( prop_3 & prop_2 ) )","F\_{[19,223]}(prop_1) -> (prop_3 & prop_2)",True
23/34,"If (prop_4) is equivalent to (prop_2), then keep (prop_1) until (prop_3) .",( ( prop_4 <-> prop_2 ) -> ( prop_1 U prop_3 ) ),( ( prop_4 <-> prop_2 ) -> ( prop_1 U prop_3 ) ),True
23/35,"You do not do (prop_1), and you should do (prop_2) and (prop_3) .",( ! prop_1 & ( prop_2 & prop_3 ) ),G((!prop_1) & prop_2 & prop_3),False
24/36,In the case ( prop_1 ) then ( prop_2 ) .,G ( prop_1 -> prop_2 ),G(prop_1 -> prop_2),True
24/37,at any time ( prop_1 ) and when possible ( prop_2 ),F ( prop_1 & F prop_2 ),G (prop_1 & prop_2),False
25/38,"You should do (prop_4) and observe (prop_2), and you should also do (prop_1) or (prop_3) .",( ( prop_4 & prop_2 ) & ( prop_1 | prop_3 ) ),(prop_4 & prop_2 & (prop_1 | prop_3)),True
26/39,"The scenario in which ( prop_1 ) and ( prop_4 ) are both true is equivalent to the scenario in which if ( prop_3 ) is true, then ( prop_2 ) must be true as well.",( ( prop_1 & prop_4 ) <-> ( prop_3 -> prop_2 ) ),((prop_1 & prop_4) <-> (prop_3 -> prop_2)),True
27/40,"In the case ( prop_2 ) , or ( prop_1 ) , then in response for every moment within 20 to 68 time units , there should exist a certain moment during the subsequent 30 to 76 time units finally , at which the event that ( prop_3 ) ought to occur .","G ( ( prop_2 | prop_1 ) -> G [20,68] ( F [30,76] prop_3 ) )","G((prop_2 | prop_1) -> G[20,68](F[30,76](prop_3)))",True
27/41,"It is always the case that everytime when ( prop_2 ) , and the scenario that ( prop_1 ) does not happen , then the following condition holds : without any delay ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G ( ( prop_2 & !prop_1 ) -> prop_3 ),False
28/42,"As soon as the event that ( prop_2 ) happens then all of the following conditions are true : at the same time instant ( prop_1 ) , and ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G( prop_2 -> ( prop_1 & prop_3 ) ),True
28/43,"Either keep (prop_2) until (prop_1), or if (prop_4) then make (prop_3) happen .",( ( prop_2 U prop_1 ) | ( prop_4 -> prop_3 ) ),\[(prop_2 \ U \ prop_1) \ | \ (prop_4 \ -> \ F(prop_3))\],False
29/44,"If (prop_3) happens eventually, then (prop_2) and (prop_1) should be equivalent .",( F prop_3 -> ( prop_2 <-> prop_1 ) ),F(prop_3) -> (prop_2 <-> prop_1),True
30/45,"It is always the case that everytime when the event that ( prop_3 ) occurs , then all of the following conditions hold : ( prop_1 ) and ( prop_2 ) .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G ( prop_3 -> ( prop_1 & prop_2 ) ),True
31/46,In the case the transition action that ( prop_1 ) takes place then the following condition holds : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
31/47,"if at any time ( prop_1 ) , whenever ( prop_2 )",( F prop_1 -> F prop_2 ),G ( prop_1 -> F prop_2 ),False
31/48,"On condition that ( prop_1 ) and ( prop_2 ) then the following condition holds : ( prop_4 ) then this condition will be sustaining all the time until finally there will exist a certain time instant in the following 1022 to 9983 time units , at which the event that ( prop_3 ) .","G ( ( prop_1 & prop_2 ) -> ( prop_4 U [1022,9983] prop_3 ) )","((prop_1 & prop_2) -> (prop_4 U_{[1022,9983]} prop_3))",False
31/49,at any time ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),G (prop_1 | prop_2),False
31/50,( prop_1 ) and when possible ( prop_2 ),( prop_1 & F prop_2 ),G (prop_1 & (F prop_2)),False
32/51,"If ( prop_2 ) does not happen , then ( prop_1 ) and ( prop_3 ) should happen .",( ! prop_2 -> ( prop_1 & prop_3 ) ),!prop_2 -> (prop_1 & prop_3),True
32/52,In case that ( prop_3 ) and ( prop_2 ) then all of the following conditions hold : in no time ( prop_1 ) .,G ( ( prop_3 & prop_2 ) -> prop_1 ),((prop_3 & prop_2) -> G(!prop_1)),False
32/53,never ( prop_1 ) and ( prop_2 ),G ( ! prop_1 & prop_2 ),G !(prop_1 & prop_2),False
32/54,( prop_1 ) and whenever ( prop_2 ),( prop_1 & F prop_2 ),G ( prop_2 -> prop_1 ),False
32/55,"If (prop_2) is always true, then either (prop_1) or (prop_3) should happen .",( G prop_2 -> ( prop_1 | prop_3 ) ),G(prop_2) -> (F(prop_1) | F(prop_3)),False
32/56,at any time ( prop_1 ) or at any time ( prop_2 ),F ( prop_1 | F prop_2 ),G (prop_1 | prop_2),False
32/57,The scenario in which ( prop_4 ) or ( prop_2 ) is equivalent to ( prop_1 ) will hold until at some point during the 141 to 575 time units ( prop_3 ) is detected .,"( ( ( prop_4 | prop_2 ) <-> prop_1 ) U [141,575] prop_3 )","\[((\text{prop_4} \;|\; \text{prop_2}) \;\leftrightarrow\; \text{prop_1}) \;U\; F[141,575](\text{prop_3})\]",False
32/58,On condition that the scenario that ( prop_1 ) happens then ( prop_2 ) .,G ( prop_1 -> prop_2 ),(prop_1 -> prop_2),False
32/59,at any time ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G( prop_1 | prop_2 ),False
33/60,when possible ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),F(prop_1 & prop_2),True
34/61,When ( prop_2 ) or ( prop_1 ) then the following condition is true : ( prop_3 ) .,G ( ( prop_2 | prop_1 ) -> prop_3 ),G ((prop_2 | prop_1) -> prop_3),True
34/62,"If ( prop_2 ) or ( prop_3 ) happens , then at some point during the 292 to 457 time units ( prop_1 ) happens .","( ( prop_2 | prop_3 ) -> F [292,457] prop_1 )","G( (prop_2 | prop_3) -> F[292,457](prop_1) )",False
34/63,"If you do not do (prop_3) and observe (prop_1), then you should do (prop_2) all the time from now on .",( ( ! prop_3 & prop_1 ) -> G prop_2 ),G((!prop_3 & prop_1) -> G(prop_2)),False
34/64,"It is always the case that when ( prop_2 ) then all of the following conditions hold : in no time ( prop_3 ) , and starting without any delay the transition action that ( prop_1 ) will be detected .",G ( prop_2 -> ( prop_3 & prop_1 ) ),"G ( prop_2 -> ( !F(prop_3) & F[0,0](prop_1) ) )",False
34/65,"It is equivalent to have ( prop_3 ) if ( prop_1 ) , ( prop_4 ) , or ( prop_2 ) .",( ( ( prop_3 | prop_1 ) | prop_4 ) <-> prop_2 ),(prop_3 <-> (prop_1 | prop_4 | prop_2)),False
35/66,when possible ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),F ( prop_1 | prop_2 ),True
36/67,"If (prop_1) or (prop_3), then at some point after 247 time steps, (prop_2) should occur .","( ( prop_1 | prop_3 ) -> F [247,infinite] prop_2 )","((prop_1 | prop_3) -> F[247, ](prop_2))",True
36/68,As soon as ( prop_1 ) and ( prop_2 ) then the following condition holds : ultimately after a certain time point in the future before the end of the simulation ( prop_3 ) .,G ( ( prop_1 & prop_2 ) -> F ( G prop_3 ) ),G( (prop_1 & prop_2) -> F(prop_3) ),False
36/69,"Either (prop_2) and (prop_4) happen together, or else (prop_3) or (prop_1) .",( ( prop_2 & prop_4 ) | ( prop_3 | prop_1 ) ),G( (prop_2 & prop_4) | (prop_3 | prop_1) ),False
37/70,( prop_1 ) and at any time ( prop_2 ),( prop_1 & F prop_2 ),prop_1 & F prop_2,True
37/71,"Whenever ( prop_3 ) remains the same until eventually ( prop_1 ), ( prop_2 ) will happen during the coming 3412 to 5943 time units.","G ( ( prop_3 U prop_1 ) -> G [3412,5943] prop_2 )","((prop_3 U prop_1) -> F[3412,5943] prop_2)",False
37/72,(prop_2) and then (prop_1).,( prop_2 U prop_1 ),F ( prop_2 & F prop_1 ),False
38/73,"Globally , everytime when ( prop_3 ) and ( prop_1 ) , then all of the following conditions are true : starting without any delay ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
38/74,"Until (prop_1) implies (prop_4), keep making (prop_3) equal to (prop_2) .",( ( prop_1 <-> prop_4 ) U ( prop_3 -> prop_2 ) ),\[(prop_1 \ U \ prop_4) \ -> \ G (prop_3 \ <-> \ prop_2)\],False
38/75,"On condition that ( prop_3 ) , or ( prop_1 ) , then at once ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),((prop_3 | prop_1) -> prop_2),False
38/76,"It is always the case that when the scenario that ( prop_2 ) happens , then the following condition is true : ( prop_3 ) and then should continue like this consecutively till ( prop_1 ) , which will have to be observed at a certain time instant during the subsequent 5573 to 10992 time units ultimately .","G ( prop_2 -> ( prop_3 U [5573,10992] prop_1 ) )","G ( prop_2 -> ( F[0,0] prop_3 & F[5573,10992] prop_1 ) )",False
39/77,"Globally , in case that ( prop_3 ) , or ( prop_2 ) then the following condition is true : at once ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> prop_1 ),G((prop_3 | prop_2) -> prop_1),True
39/78,In the case the scenario that ( prop_3 ) is detected then in response ( prop_2 ) and without any delay ( prop_1 ) .,G ( prop_3 -> ( prop_2 & prop_1 ) ),G( prop_3 -> ( prop_1 & X(prop_2)) ),False
40/79,"It is always the case that everytime when ( prop_2 ) , or ( prop_3 ) , then all of the following conditions are true : ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
40/80,"If the scenario ( prop_1 ) happen and the scenario ( prop_3 ) is detected, then ( prop_2 ) will happen at some point in the next 8414 to 15407 time units and this condition will be consistently true for the next 1802 to 5241 time units.","G ( ( prop_1 & prop_3 ) -> F [8414,15407] ( G [1802,5241] prop_2 ) )","((prop_1 & prop_3) -> F[8414,15407] G[1802,5241] prop_2)",False
41/81,"Globally , while ( prop_2 ) , and ( prop_3 ) then all of the following conditions are true : ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
41/82,"It is required that (prop_2) is equivalent to (prop_1) and at some point 445 time units after that, (prop_3) should hold .","( ( prop_2 <-> prop_1 ) & F [445,infinite] prop_3 )","((prop_2 <-> prop_1) -> F[445,445](prop_3))",False
42/83,"Globally , in case that ( prop_3 ) , and ( prop_2 ) , then ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
43/84,"It is always the case that whenever ( prop_1 ) and the scenario that ( prop_3 ) gets detected , then ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
43/85,"If ( prop_4 ) then ( prop_1 ) , the above scenario is equivalent to ( prop_2 ) , and also ( prop_3 ) .",( ( ( prop_4 -> prop_1 ) <-> prop_2 ) & prop_3 ),((prop_4 -> prop_1) <-> (prop_2 & prop_3)),False
44/86,"Globally , if the transition action that ( prop_1 ) gets observed , then all of the following conditions hold : the event that ( prop_2 ) promptly takes place , or ( prop_3 ) .",G ( prop_1 -> ( prop_2 | prop_3 ) ),G ( prop_1 -> ( prop_2 | prop_3 ) ),True
45/87,"It is always the case that in case that the event that ( prop_1 ) gets observed , then all of the following conditions hold : ( prop_3 ) , and without any delay ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G( prop_1 -> (prop_3 & prop_2) ),True
46/88,"It is always the case that if the scenario that ( prop_3 ) gets detected then all of the following conditions hold : immediately the transition action that ( prop_1 ) ought to occur , or ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G( prop_3 -> (prop_1 | prop_2) ),True
47/89,"Globally , in case that ( prop_2 ) and the scenario that ( prop_4 ) takes place , then the following condition is true : at the same time instant ( prop_3 ) , and at the same time point ( prop_1 ) .",G ( ( prop_2 & prop_4 ) -> ( prop_3 & prop_1 ) ),G((prop_2 & prop_4) -> (prop_3 & prop_1)),True
48/90,"Globally , everytime when ( prop_2 ) , and ( prop_3 ) then the following condition holds : ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
49/91,"If the event ( prop_3 ) takes place, then ( prop_2 ) or ( prop_1 ) will happen right away.",G ( prop_3 -> ( prop_2 | prop_1 ) ),G( prop_3 -> ( prop_2 | prop_1 ) ),True
49/92,at any time ( prop_1 ) or don't ( prop_2 ),F ( prop_1 | ! prop_2 ),G ( prop_1 | !prop_2 ),False
49/93,Everytime when the scenario that ( prop_2 ) is observed then all of the following conditions are true : ( prop_1 ) and the event that ( prop_3 ) is promptly observed .,G ( prop_2 -> ( prop_1 & prop_3 ) ),"G( prop_2 -> ( prop_1 & F[0,1] prop_3 ) )",False
50/94,Everytime when the event that ( prop_3 ) gets observed then in response ( prop_2 ) and ( prop_1 ) .,G ( prop_3 -> ( prop_2 & prop_1 ) ),G ( prop_3 -> ( prop_2 & prop_1 ) ),True
50/95,On condition that ( prop_1 ) or the event that ( prop_3 ) does n't happen then in response ( prop_2 ) .,G ( ( prop_1 | prop_3 ) -> prop_2 ),(!prop_3 | prop_1) -> prop_2,False
50/96,"For each time instant in the coming time units if ( prop_3 ) then ( prop_2 ) , or else ( prop_1 ) .",( G ( prop_3 -> prop_2 ) | prop_1 ),G( prop_3 -> prop_2 ) & G( (!prop_3) -> prop_1 ),False
50/97,"If (prop_1), then (prop_3), or else keep (prop_2) until (prop_4) for 264 to 480 time steps .","( ( prop_1 -> prop_3 ) | ( prop_2 U [264,480] prop_4 ) )","((prop_1 -> prop_3) & (!prop_1 -> (prop_2 U[264,480] prop_4)))",False
51/98,"Either ( prop_1 ) is equivalent to ( prop_2 ) , or it is not the case that ( prop_3 ) happens.",( ( prop_1 <-> prop_2 ) | ! prop_3 ),(prop_1 <-> prop_2) | !prop_3,True
52/99,"Globally , everytime when ( prop_3 ) and ( prop_1 ) , then all of the following conditions are true : ( prop_2 ) and consistently this scenario needs to remain for each time point during the first 2 to 20 time units .","G ( ( prop_3 & prop_1 ) -> G [2,20] prop_2 )","G((prop_3 & prop_1) -> G_[2,20](prop_2))",True
53/100,"Whenever ( prop_2 ) , then in response immediately ( prop_3 ) , and the scenario that ( prop_1 ) ought to get observed at the same time point .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
