true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
3/11,"If the scenario ( prop_2 ) is detected, then in response ( prop_3 ) and ( prop_1 ) should happen.",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
3/12,"During the interval that ( prop_3 ) then the following condition holds : at a time within the following 3318 to 8637 time units the transition action that ( prop_2 ) will be observed , and before this without interruption ( prop_1 ) .","G ( prop_3 -> ( prop_2 U [3318,8637] prop_1 ) )","(prop_3 -> (prop_1 U[F[3318,8637] prop_2]))",False
4/13,"Globally , during the interval that ( prop_3 ) , or ( prop_1 ) , then all of the following conditions hold : right away the event that ( prop_2 ) has to happen .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G( (prop_3 | prop_1) -> prop_2 ),True
5/14,"Globally , when the event that ( prop_2 ) is observed or ( prop_3 ) then the following condition is true : ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
5/15,"If ( prop_2 ) is true , then ( prop_3 ) should be true as well , and ( prop_1 ) .",( ( prop_2 -> prop_3 ) & prop_1 ),G ( prop_2 -> ( prop_3 & prop_1 ) ),False
6/16,If the transition action that ( prop_2 ) is detected then all of the following conditions are true : at the same time instant ( prop_3 ) and at the same time ( prop_1 ) .,G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
6/17,whenever ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G ( prop_1 | prop_2 ),False
6/18,at any time ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),G (prop_1 & prop_2),False
7/19,"Globally , when the scenario that ( prop_3 ) takes place , then the following condition holds : at the same time point ( prop_1 ) , or ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
8/20,It is always the case that everytime when ( prop_1 ) or the event that ( prop_2 ) takes place then ( prop_3 ) .,G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
8/21,"(prop_1) and (prop_2), and (prop_4) and (prop_3) should all happen .",( ( prop_1 & prop_2 ) & ( prop_4 & prop_3 ) ),F(prop_1) & F(prop_2) & F(prop_3) & F(prop_4),False
9/22,"Globally , if ( prop_2 ) , then in response immediately ( prop_3 ) , and ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
9/23,"It is required that the scenario in which (prop_1) happens and continues until at some point during the 7554 to 12921 time units (prop_4) happens, is equivalent to the scenario in which (prop_3) and (prop_2) happen at the same time .","( ( prop_1 U [7554,12921] prop_4 ) <-> ( prop_3 & prop_2 ) )","((prop_1 U[7554,12921] prop_4) <-> (prop_3 & prop_2))",True
10/24,On condition that ( prop_1 ) or ( prop_3 ) then in response in no time ( prop_2 ) .,G ( ( prop_1 | prop_3 ) -> prop_2 ),G( (prop_1 | prop_3) -> prop_2 ),True
11/25,"Globally , whenever ( prop_1 ) , or ( prop_2 ) then all of the following conditions are true : in the future until the end of the simulation , continuously ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> G prop_3 ),G((prop_1 | prop_2) -> G(prop_3)),True
11/26,"Globally , if ( prop_2 ) , then all of the following conditions are true : immediately ( prop_3 ) , and promptly ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),"G ( prop_2 -> ( X prop_3 & F[0,1] prop_1 ) )",False
12/27,"If the event that ( prop_1 ) occurs , then in response without any delay ( prop_2 ) , or ( prop_3 ) .",G ( prop_1 -> ( prop_2 | prop_3 ) ),G( prop_1 -> ( prop_2 | prop_3 ) ),True
13/28,"Globally , in case that the transition action that ( prop_2 ) happens , or ( prop_1 ) , then in response ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> prop_3),True
13/29,"If ( prop_4 ) happens and continues to happen until ( prop_3 ) is detected , as well as ( prop_2 ) , then ( prop_1 ) .",( ( ( prop_4 U prop_3 ) & prop_2 ) -> prop_1 ),((prop_4 U (prop_3 & prop_2)) -> prop_1),False
13/30,"If (prop_3), then do (prop_2), and make sure (prop_1) is always true for 4051 to 12176 time steps .","( ( prop_3 -> prop_2 ) & G [4051,12176] prop_1 )","(prop_3 -> prop_2) & G[4051,12176](prop_1)",True
14/31,whenever ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F (prop_1 | prop_2),True
14/32,"It is always the case that everytime when ( prop_1 ) , or the event that ( prop_3 ) occurs then immediately ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> X prop_2),False
14/33,( prop_1 ) or whenever ( prop_2 ),( prop_1 | F prop_2 ),F (prop_1 | prop_2),False
14/34,"If (prop_1), then (prop_2), or else (prop_4) is equivalent to (prop_3) .",( ( prop_1 -> prop_2 ) | ( prop_4 <-> prop_3 ) ),((prop_1 -> prop_2) & (!prop_1 -> (prop_4 <-> prop_3))),False
15/35,at some time ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1 | prop_2),True
16/36,"Globally , whenever the transition action that ( prop_3 ) is detected and ( prop_1 ) then the following condition is true : ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
16/37,"As soon as at a time in the future before the end of the execution ( prop_3 ) , before this ( prop_2 ) then all of the following conditions are true : ( prop_1 ) and this scenario must hold all the time for each moment within the first 847 to 8732 time units .","G ( ( prop_3 U prop_2 ) -> G [847,8732] prop_1 )","G[847,8732] ( prop_2 -> ( prop_3 U prop_1 ) )",False
17/38,"Either (prop_1) should happen soon, or else (prop_2) and (prop_3) should happen at the same time .",( F prop_1 | ( prop_2 & prop_3 ) ),F(prop_1) | (prop_2 & prop_3),True
18/39,In the case the event that ( prop_2 ) gets detected then in response at once ( prop_1 ) and ( prop_3 ) .,G ( prop_2 -> ( prop_1 & prop_3 ) ),G ( prop_2 -> ( prop_1 & prop_3 ) ),True
18/40,repeatedly ( prop_1 ) or whenever ( prop_2 ),G ( F prop_1 | F prop_2 ),G ( prop_2 -> F prop_1 ),False
18/41,"(prop_4) and (prop_1) should happen at the same time, and also (prop_3) should happen and continue until at some point during the 206 to 410 time units (prop_2) happens .","( ( prop_4 & prop_1 ) & ( prop_3 U [206,410] prop_2 ) )","((prop_4 <-> prop_1) & (prop_3 U_[206,410] prop_2))",False
18/42,"It is always the case that if ( prop_1 ) , or ( prop_3 ) then all of the following conditions hold : ( prop_2 ) and consecutively this condition will be remaining within the next 66 to 84 time units .","G ( ( prop_1 | prop_3 ) -> G [66,84] prop_2 )","G((prop_1 | prop_3) -> (prop_2 & F[66,84] prop_2))",False
18/43,"For each time instant in the next 781 to 5362 time units ( prop_2 ) continues to happen , and then ( prop_1 ) , or else ( prop_3 ) .","( ( G [781,5362] prop_2 -> prop_1 ) | prop_3 )","G[781,5362]((prop_2 U prop_1) | prop_3)",False
18/44,( prop_1 ) until at any time ( prop_2 ),( prop_1 U F prop_2 ),(prop_1 U prop_2),False
18/45,"Make sure (prop_2) happens after 7307 timesteps, and in addition, do either (prop_1) or (prop_3) .","( F [7307,infinite] prop_2 & ( prop_1 | prop_3 ) )","F[7307,7307](prop_2 & (prop_1 | prop_3))",False
18/46,"Either while (prop_2), do (prop_3), or keep (prop_1) for 409 to 428 time steps .","( ( prop_2 -> prop_3 ) | G [409,428] prop_1 )","(prop_2 U[409,428] prop_3) | G[409,428] prop_1",False
18/47,repeatedly ( prop_1 ) or when possible ( prop_2 ),G ( F prop_1 | F prop_2 ),F(prop_1) | F(prop_2),False
18/48,For all time (prop_2) happens is equivalent to the scenario that if (prop_3) then (prop_1) .,( G prop_2 <-> ( prop_3 -> prop_1 ) ),G ( prop_2 <-> ( prop_3 -> prop_1 ) ),True
18/49,"It is always the case that everytime when the event that ( prop_2 ) gets detected or ( prop_1 ) , then all of the following conditions are true : immediately ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> X prop_3),False
19/50,"At some point, (prop_1).",F prop_1,F(prop_1),True
19/51,"In the case the transition action that ( prop_1 ) gets observed or ( prop_3 ) , then the following condition is true : for every time instant in the future until the execution ends there needs to be sometime during the coming 3 to 6 time units , at which ultimately the transition action that ( prop_2 ) should get detected .",G ( ( prop_1 | prop_3 ) -> G ( F prop_2 ) ),"G((prop_1 | prop_3) -> G(F[3,6](prop_2)))",False
20/52,(prop_2) and (prop_1).,( prop_2 & prop_1 ),prop_2 & prop_1,True
20/53,"If the scenario ( prop_3 ) takes place, then the scenario ( prop_1 ) will take place during the subsequent 31 to 57 time units and ( prop_2 ) will happen before that.","G ( prop_3 -> ( prop_1 U [31,57] prop_2 ) )","(prop_3 -> (F[31,57] prop_1 & F[0,30] prop_2))",False
20/54,"If (prop_1) or (prop_3) happens, then make (prop_2) happen in the next 179 to 228 time units .","( ( prop_1 | prop_3 ) -> F [179,228] prop_2 )","G((prop_1 | prop_3) -> F[179,228](prop_2))",False
21/55,It is always the case that while ( prop_1 ) then ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
22/56,"Globally , in case that the scenario that ( prop_3 ) happens and ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
22/57,"Until (prop_3) is equal to (prop_2), make sure that (prop_1) is not true .",( ! prop_3 U ( prop_2 <-> prop_1 ) ),(!prop_1) U (prop_3 <-> prop_2),False
23/58,at some time ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),F (prop_1 & prop_2),True
24/59,"If ( prop_2 ) or ( prop_3 ) , then the following condition is true : ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
24/60,"If ( prop_3 ) , or the event that ( prop_1 ) gets observed , then the following condition holds : instantly ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),(prop_3 | prop_1) -> prop_2,False
25/61,It is always the case that when the transition action that ( prop_1 ) is detected then all of the following conditions hold : at once ( prop_3 ) and without any delay ( prop_2 ) .,G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
25/62,"While ( prop_1 ) will happen in the next 4903 to 14071 time units or , at some point before that , it will have been the case that ( prop_3 ) implies ( prop_2 ), and in the meantime ( prop_4 ) will happen .","( ( ( prop_1 -> prop_3 ) U [4903,14071] prop_2 ) & prop_4 )","((F[4903,14071] prop_1) | (F((prop_3 -> prop_2) & F[0,4903] prop_4)))",False
25/63,Eventually do prop_3 and either do prop_2 or prop_1.,( F prop_3 & ( prop_2 | prop_1 ) ),F ( prop_3 & ( prop_2 | prop_1 ) ),True
26/64,"In case that the scenario that ( prop_3 ) occurs , or ( prop_1 ) , then all of the following conditions are true : ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G((prop_3 | prop_1) -> prop_2),True
27/65,In the event that ( prop_1 ) then all of the following conditions are true : right away the event that ( prop_2 ) ought to occur .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
27/66,"If both ( prop_1 ) and ( prop_3 ) happen, then ensure that ( prop_2 ) will happen at some point within the next 196 to 214 time units.","( ( prop_1 & prop_3 ) -> F [196,214] prop_2 )","G((prop_1 & prop_3) -> F[196,214](prop_2))",False
27/67,"Ensure that (prop_1) and (prop_3) happen, and for all time afterward during 7395 to 16022 timesteps, make sure (prop_2) is true as well .","( ( prop_1 & prop_3 ) & G [7395,16022] prop_2 )","((prop_1 & prop_3) -> G[7395,16022](prop_2))",False
27/68,During the interval that ( prop_2 ) and ( prop_3 ) then at a time in the future before the end of the execution ( prop_1 ) and this condition needs to remain in the future till the end of the simulation .,G ( ( prop_2 & prop_3 ) -> F ( G prop_1 ) ),((prop_2 & prop_3) -> F(prop_1 & G(prop_1))),False
28/69,If the event that ( prop_1 ) takes place then all of the following conditions hold : at the same time point ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
28/70,whenever ( prop_1 ) can infer that never ( prop_2 ),( F prop_1 -> G ( ! prop_2 ) ),G ( prop_1 -> G ( !prop_2 ) ),False
28/71,"If (prop_1), then (prop_3), and keep (prop_2) for all time during 9902 to 13142 time steps .","( ( prop_1 -> prop_3 ) & G [9902,13142] prop_2 )","((prop_1 -> prop_3) & G[9902,13142](prop_2))",True
28/72,"If ( prop_4 ) is equivalent to ( prop_1 ) then ( prop_2 ) , and also ( prop_3 ) .",( ( ( prop_4 <-> prop_1 ) -> prop_2 ) & prop_3 ),((prop_4 <-> prop_1) -> (prop_2 & prop_3)),False
29/73,"Globally , during the interval that ( prop_1 ) , or ( prop_2 ) , then all of the following conditions are true : starting without any delay ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G( (prop_1 | prop_2) -> prop_3 ),True
29/74,"In the case ( prop_2 ) , or ( prop_4 ) then all of the following conditions hold : in no time ( prop_1 ) and simultaneously ( prop_3 ) .",G ( ( prop_2 | prop_4 ) -> ( prop_1 & prop_3 ) ),G((prop_2 | prop_4) -> !(prop_1 & prop_3)),False
29/75,when possible ( prop_1 ) and at any time ( prop_2 ),F ( prop_1 & F prop_2 ),F (prop_1 & prop_2),False
30/76,"If you do (prop_2) and it implies (prop_3), then you should not do (prop_1) .",( ( prop_2 -> prop_3 ) -> ! prop_1 ),((prop_2 -> prop_3) -> !prop_1),True
31/77,"Globally , whenever ( prop_2 ) and the transition action that ( prop_1 ) is observed then all of the following conditions are true : ( prop_3 ) , or ( prop_4 ) .",G ( ( prop_2 & prop_1 ) -> ( prop_3 | prop_4 ) ),G((prop_2 & prop_1) -> (prop_3 | prop_4)),True
32/78,It is always the case that if the transition action that ( prop_1 ) happens then the following condition is true : starting without any delay ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
33/79,"When ( prop_2 ) , then all of the following conditions hold : ( prop_1 ) then consecutively this scenario will be remaining until ( prop_3 ) .",G ( prop_2 -> ( prop_1 U prop_3 ) ),G( prop_2 -> ( prop_1 U prop_3 ) ),True
34/80,"It is always the case that everytime when ( prop_3 ) and the scenario that ( prop_2 ) occurs , then in response ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
34/81,"The happening of ( prop_1 ) implies ( prop_4 ) , and the above condition will happen and hold until at some point during the 377 to 699 time units ( prop_3 ) is detected , or else ( prop_2 ) .","( ( ( prop_1 -> prop_4 ) U [377,699] prop_3 ) | prop_2 )","((prop_1 -> prop_4) U[377,699] (prop_3 | prop_2))",False
35/82,"As soon as ( prop_2 ) and ( prop_1 ) then the following condition is true : immediately the event that ( prop_4 ) must take place , and right away ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> ( prop_4 & prop_3 ) ),G( (prop_2 & prop_1) -> (prop_4 & prop_3) ),True
35/83,when possible ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
35/84,If the scenario that ( prop_3 ) or the scenario that ( prop_1 ) is detected for all time points during the 1944 to 4277 time units then ultimately ( prop_2 ) should be observed .,"( G [1944,4277] ( prop_3 | prop_1 ) -> prop_2 )","(((G[1944,4277] (prop_3 | prop_1))) -> F(prop_2))",False
36/85,"Globally , everytime when ( prop_1 ) and ( prop_3 ) , then all of the following conditions are true : starting without any delay ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
37/86,at some time ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1 | prop_2),True
37/87,at any time ( prop_1 ) until ( prop_2 ),F ( prop_1 U prop_2 ),(prop_1 U prop_2),False
37/88,"Either keep (prop_2) and (prop_3) true at the same time, or make sure (prop_1) happens at some point after 364 time units .","( ( prop_2 & prop_3 ) | F [364,infinite] prop_1 )","((prop_2 & prop_3) | F[364,∞) prop_1)",True
38/89,"Globally , in case that the event that ( prop_1 ) gets observed then the following condition is true : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
39/90,In the case the scenario that ( prop_1 ) happens then all of the following conditions are true : starting without any delay ( prop_2 ) .,G ( prop_1 -> prop_2 ),G( prop_1 -> prop_2 ),True
39/91,As soon as the transition action that ( prop_2 ) gets observed then all of the following conditions hold : the event that ( prop_1 ) should occur at the same time point and right away ( prop_3 ) .,G ( prop_2 -> ( prop_1 & prop_3 ) ),(prop_2 -> (prop_1 & prop_3)),False
40/92,when possible ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),F (prop_1 & prop_2),True
41/93,"Globally , when the scenario that ( prop_1 ) gets observed then all of the following conditions are true : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
42/94,"Globally , if ( prop_1 ) or ( prop_3 ) then all of the following conditions hold : at the same time the transition action that ( prop_2 ) ought to be detected .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
43/95,"It is always the case that while ( prop_1 ) , or ( prop_3 ) , then the following condition holds : instantly ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
43/96,at some time ( prop_1 ) can infer that at some time ( prop_2 ),( F prop_1 -> F prop_2 ),F(prop_1 -> F(prop_2)),False
43/97,"In case that the event that ( prop_3 ) happens and ( prop_2 ) , then the following condition holds : ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> F prop_1 ),G((prop_3 & prop_2) -> prop_1),False
43/98,never ( prop_1 ) or when possible ( prop_2 ),G ( ! prop_1 | F prop_2 ),!prop_1 | F(prop_2),False
44/99,"Whenever ( prop_1 ) , and ( prop_3 ) , then in response ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
44/100,"Until (prop_1) happens and (prop_2) is true as a result, if (prop_3) happens, then (prop_4) should also be true.",( ( prop_1 -> prop_2 ) U ( prop_3 -> prop_4 ) ),((!prop_1) U (prop_1 & prop_2)) -> (prop_3 -> prop_4),False
