ID;NL description;FRETish;LTL
REQ011;Provide power consumption data;ActiveNucleo shall always satisfy MonitorPowerConsumption & ReturnPowerConsumptionData;(H (MonitorPowerConsumption & ReturnPowerConsumptionData))
REQ014;Simulation of communications and package sending;in SimulationModeRaspberry shall always satisfy SimulateCommunications & SimulatePackageSending;(H (SimulationMode -> (SimulateCommunications & SimulatePackageSending)))
REQ015;During HIL simulations the Gazebo should run using real-time clock;during HILSimulationGazebo shall always satisfy UseRealTimeClock;(H (HILSimulation -> UseRealTimeClock))
REQ016;Run each simulation loop within 10ms;in SimulationModeupon SimulationLoopStart System shall within 10 milliseconds satisfy SimulationLoopFinish;((H (((! SimulationMode) & (Y SimulationMode)) -> (Y (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) S (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) S (((O[10,10] ((SimulationLoopStart & ((Y (! SimulationLoopStart)) | (SimulationMode & (Z (! SimulationMode))))) & (! SimulationLoopFinish))) -> (O[0,9] ((SimulationMode & (Z (! SimulationMode))) | SimulationLoopFinish))) & (SimulationMode & (Z (! SimulationMode)))))))
REQ017;Assess the hardware time performance;when ControlLoopFinish System shall satisfy CollectHardwareExecutionTimes & AssessHardwareTimePerformance;((H (! ControlLoopFinish)) | (! ((! (CollectHardwareExecutionTimes & AssessHardwareTimePerformance)) S ((! (CollectHardwareExecutionTimes & AssessHardwareTimePerformance)) & (ControlLoopFinish & (Z (! ControlLoopFinish)))))))
REQ018;The control loop will complete within 12 milliseconds (was: Present the total time spent);upon ControlLoopStart System shall within 12 milliseconds satisfy ControlLoopFinish;(H ((O[12,12] ((ControlLoopStart & (Z (! ControlLoopStart))) & (! ControlLoopFinish))) -> (O[0,11] ((! (Y TRUE)) | ControlLoopFinish))))
REQ019;The control algorithm will complete within 6 milliseconds (was: Present the time spent in the control algorithm);upon ControlAlgorithmStart System shall within 6 milliseconds satisfy ControlAlgorithmFinish;(H ((O[6,6] ((ControlAlgorithmStart & (Z (! ControlAlgorithmStart))) & (! ControlAlgorithmFinish))) -> (O[0,5] ((! (Y TRUE)) | ControlAlgorithmFinish))))
REQ033;Monitor linear velocities (ground speed and relative wind speed);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorGroundSpeed & SendGroundSpeedData) & (MonitorWindSpeed & SendWindSpeedData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((MonitorGroundSpeed & SendGroundSpeedData) & (MonitorWindSpeed & SendWindSpeedData))) S ((! ((MonitorGroundSpeed & SendGroundSpeedData) & (MonitorWindSpeed & SendWindSpeedData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ034;Monitor Pitot Tube, Alpha Vane and Beta Vane;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData) & (MonitorBetaVane & SendBetaVaneData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData)) & (MonitorBetaVane & SendBetaVaneData))) S ((! (((MonitorPitotTube & SendPitotTubeData) & (MonitorAlphaVane & SendAlphaVaneData)) & (MonitorBetaVane & SendBetaVaneData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ035;Monitor angular velocities;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorAngularVelocity & SendAngularVelocityData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorAngularVelocity & SendAngularVelocityData)) S ((! (MonitorAngularVelocity & SendAngularVelocityData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ036;Monitor tilting mechanism servo motors angular speed;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorServoMotors & SendServoMotorsData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorServoMotors & SendServoMotorsData)) S ((! (MonitorServoMotors & SendServoMotorsData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ037;Monitor tilt angles;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorTiltAngles & SendTiltAngleData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorTiltAngles & SendTiltAngleData)) S ((! (MonitorTiltAngles & SendTiltAngleData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ038;Monitor xyz accelerations (in terms of g);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorAccelerations & SendAccelerationsData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorAccelerations & SendAccelerationsData)) S ((! (MonitorAccelerations & SendAccelerationsData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ039;Monitor altitude;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorBarometerAltitude & SendBarometerAltitudeData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBarometerAltitude & SendBarometerAltitudeData)) S ((! (MonitorBarometerAltitude & SendBarometerAltitudeData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ040;Monitor attitude (row, pitch and yaw rates - IMU);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorRow & SendRowData) & (MonitorPitch & SendPitchData) & (MonitorYaw & SendYawData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) S ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ041;Monitor accelerometer data (IMU);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorAccelerometerData & SendAccelerometerData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorAccelerometerData & SendAccelerometerData)) S ((! (MonitorAccelerometerData & SendAccelerometerData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ042;Monitor magnetometer data (IMU);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorMagnetometerData & SendMagnetometerData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorMagnetometerData & SendMagnetometerData)) S ((! (MonitorMagnetometerData & SendMagnetometerData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ043;Monitor gyroscope data (IMU);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorGyroscopeData & SendGyroscopeData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorGyroscopeData & SendGyroscopeData)) S ((! (MonitorGyroscopeData & SendGyroscopeData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ044;Monitor compass data (IMU);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorCompassData & SendCompassData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorCompassData & SendCompassData)) S ((! (MonitorCompassData & SendCompassData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ045;Monitor the RPM of the motors;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorMotorRPM & SendMotorRPM);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorMotorRPM & SendMotorRPM)) S ((! (MonitorMotorRPM & SendMotorRPM)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ046;Monitor the board status;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorBoardStatus & SendBoardStatusData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBoardStatus & SendBoardStatusData)) S ((! (MonitorBoardStatus & SendBoardStatusData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ047;Monitor GPS: latitude, longitude, altitude and home position;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorGPSLatitude & MonitorGPSLongitude & MonitorGPSAltitude & MonitorGPSHomePosition & SendGPSData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) S ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ050;Provide absolute positioning accuracy under challenging GPS measurement conditions (satellite shadowing, non-line of sight receptions, signal diffraction or multipath effects);while SatelliteShadowing | NoReceptionLoS | SignalDiffraction | MultipathEffects System shall always satisfy PositioningAccuracy;(H ((((SatelliteShadowing | NoReceptionLoS) | SignalDiffraction) | MultipathEffects) -> PositioningAccuracy))
REQ051;Monitor RTK data;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorRTKData & SendRTKData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorRTKData & SendRTKData)) S ((! (MonitorRTKData & SendRTKData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ052;Monitor velocity of propellers (RPM);upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorPropellerRPM & SendPropellerRPMData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorPropellerRPM & SendPropellerRPMData)) S ((! (MonitorPropellerRPM & SendPropellerRPMData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ053;Monitor maximum and average temperatures of the components;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorComponentsTemeratures & SendComponentsTemperaturesData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorComponentsTemeratures & SendComponentsTemperaturesData)) S ((! (MonitorComponentsTemeratures & SendComponentsTemperaturesData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ054;Monitor temperature inside the fuselage;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorInternalTemperature & SendInternalTemperatureData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorInternalTemperature & SendInternalTemperatureData)) S ((! (MonitorInternalTemperature & SendInternalTemperatureData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ055;Monitor temperature inside bay area;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorBayAreaTemperature & SendBayAreaTemperatureData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBayAreaTemperature & SendBayAreaTemperatureData)) S ((! (MonitorBayAreaTemperature & SendBayAreaTemperatureData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ056;Monitor QoS of the communication between ground station and UAV;while MonitoringEnabledRaspberry shall always satisfy MonitorCommunicationQuality;(H (MonitoringEnabled -> MonitorCommunicationQuality))
REQ057;Management of energy sources;while MonitoringEnabled System shall always satisfy ManageEnergySources;(H (MonitoringEnabled -> ManageEnergySources))
REQ058;Monitor battery status/level/voltage of each cell;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy (MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData) & (MonitorBatteryVoltage & SendBatteryVoltageData);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) S ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ059;Monitor battery discharge rate;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorBatteryDischargeRate & SendBatteryDischargeRateData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBatteryDischargeRate & SendBatteryDischargeRateData)) S ((! (MonitorBatteryDischargeRate & SendBatteryDischargeRateData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ060;Monitor current consumption in each voltage bus;upon ControlLoopStart ActiveNucleo shall before ControlLoopFinish satisfy MonitorVoltageBusConsumption & SendVoltageBusConsumptionData;(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) S ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ063;Indicate which board is running the controller;System shall always satisfy (AutonomousFlightMode => JetsonControl & JetsonControlDisplay) & (RemoteControlFlightMode => NulceoControl & NucleoControlDisplay) & (FailsafeFlightMode => NucleoControl & NucleoControlDisplay);(H (((AutonomousFlightMode -> (JetsonControl & JetsonControlDisplay)) & (RemoteControlFlightMode -> (NulceoControl & NucleoControlDisplay))) & (FailsafeFlightMode -> (NucleoControl & NucleoControlDisplay))))
REQ064;Indicate which controller is running;System shall always satisfy DisplayCurrentController;(H DisplayCurrentController)
REQ065;Monitor current of brushless, ESCs and servo motors;while MonitoringEnabled System shall always satisfy MonitorBrushlessCurrent & MonitorESCCurrent & MonitorServoMotorCurrent;(H (MonitoringEnabled -> ((MonitorBrushlessCurrent & MonitorESCCurrent) & MonitorServoMotorCurrent)))
