true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
2/11,"It is required that at a certain point within the next 2323 to 10219 time units the scenario in which ( prop_3 ) happens and then ( prop_2 ) , or else ( prop_1 ) .","( F [2323,10219] ( prop_3 -> prop_2 ) | prop_1 )","F[2323,10219]((prop_3 U prop_2) | prop_1)",False
2/12,"Do not do (prop_1), or when you see (prop_2), then you should do (prop_3) .",( ! prop_1 | ( prop_2 -> prop_3 ) ),(!prop_1) & G(prop_2 -> prop_3),False
3/13,"Globally , everytime when ( prop_3 ) , and ( prop_2 ) then in response ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
3/14,"Everytime when ( prop_1 ) , and the transition action that ( prop_2 ) occurs then ( prop_3 ) and then this condition has to last consistently until ( prop_4 ) .",G ( ( prop_1 & prop_2 ) -> ( prop_3 U prop_4 ) ),G( (prop_1 & X(prop_2)) -> (prop_3 U prop_4) ),False
3/15,"Make sure that at some point in the next 6686 to 12854 timesteps (prop_2) happens, which is equivalent to the scenario in which both (prop_1) and (prop_3) occur .","( F [6686,12854] prop_2 <-> ( prop_1 & prop_3 ) )","F[6686,12854] (prop_2 <-> (prop_1 & prop_3))",True
3/16,"It is always the case that in case that ( prop_3 ) and ( prop_1 ) then in the future , continuously ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> G prop_2 ),G( (prop_3 & prop_1) -> F G(prop_2) ),False
3/17,"if when possible ( prop_1 ) , never ( prop_2 )",( F prop_1 -> G ( ! prop_2 ) ),G ( prop_1 -> G (!prop_2) ),False
3/18,when possible ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
4/19,"While ( prop_3 ) , and ( prop_4 ) then all of the following conditions hold : ( prop_1 ) then uninterruptedly this scenario must sustain till there is a certain time point in the future before the end of the execution , at which ( prop_2 ) .",G ( ( prop_3 & prop_4 ) -> ( prop_1 U prop_2 ) ),G((prop_3 & prop_4) -> (prop_1 U prop_2)),True
4/20,"(prop_2), then (prop_1).",( prop_2 U prop_1 ),(prop_2 -> prop_1),False
4/21,at any time ( prop_1 ) and at some time ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1) & F(prop_2),False
5/22,"Globally , if ( prop_1 ) , and ( prop_4 ) then the following condition is true : ( prop_2 ) or without any delay ( prop_3 ) .",G ( ( prop_1 & prop_4 ) -> ( prop_2 | prop_3 ) ),G((prop_1 & prop_4) -> (prop_2 | prop_3)),True
5/23,"In the case ( prop_2 ) , and ( prop_3 ) , then the following condition is true : for every moment in the next 18 to 48 time units there must ultimately exist a certain time point in the future before the execution ends , at which ( prop_1 ) .","G ( ( prop_2 & prop_3 ) -> G [18,48] ( F prop_1 ) )","G( (prop_2 & prop_3) -> G[18,48](F(prop_1)) )",True
6/24,"If at some point ( prop_2 ) happens and continues to happen until ( prop_4 ) , and also ( prop_1 ) , or else ( prop_3 ) .",( ( ( prop_2 U prop_4 ) & prop_1 ) | prop_3 ),((prop_2 U prop_4) & prop_1) | prop_3,True
7/25,( prop_1 ) and forever ( prop_2 ),( prop_1 & G prop_2 ),prop_1 & G(prop_2),True
7/26,when possible ( prop_1 ) means that ( prop_2 ),( F prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),False
7/27,whenever ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
7/28,"When ( prop_1 ) , or ( prop_3 ) , then the following condition is true : there shall eventually exist a certain moment in the future before the simulation ends , after which ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> F ( G prop_2 ) ),((prop_1 | prop_3) -> F prop_2),False
8/29,"In the case ( prop_3 ) and ( prop_1 ) then in response the scenario that ( prop_2 ) should be observed at the same time point , and ( prop_4 ) .",G ( ( prop_3 & prop_1 ) -> ( prop_2 & prop_4 ) ),G((prop_3 & prop_1) -> (prop_2 & prop_4)),True
9/30,If ( prop_1 ) then the following condition is true : at the same time ( prop_2 ) .,G ( prop_1 -> prop_2 ),G( prop_1 -> prop_2 ),True
9/31,when possible ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
10/32,During the interval that ( prop_1 ) and ( prop_2 ) then the following condition is true : instantly the transition action that ( prop_3 ) shall be detected .,G ( ( prop_1 & prop_2 ) -> prop_3 ),G((prop_1 & prop_2) -> prop_3),True
11/33,(prop_2) and (prop_1).,( prop_2 & prop_1 ),prop_2 & prop_1,True
11/34,Make sure that (prop_3) and (prop_2) are equivalent until at some point during the 239 to 429 time steps when (prop_1) is not true .,"( ( prop_3 <-> prop_2 ) U [239,429] ! prop_1 )","((prop_3 <-> prop_2) U[239,429] !prop_1)",True
12/35,"Globally , everytime when ( prop_2 ) then ( prop_3 ) and ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
12/36,at any time ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),G (prop_1 | prop_2),False
12/37,"As soon as ( prop_2 ) and ( prop_1 ) , then in response ultimately after a certain time instant within the next 22 to 49 time units , in the future until the end of the simulation , ( prop_3 ) .","G ( ( prop_2 & prop_1 ) -> F [22,49] ( G prop_3 ) )","G( (prop_2 & prop_1) -> F[22,49](G(prop_3)) )",True
13/38,"When ( prop_2 ) and ( prop_1 ) , then the following condition holds : ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> prop_3),True
14/39,"When the scenario that ( prop_2 ) is detected , then the following condition is true : ( prop_1 ) and then this condition will be remaining all the time until eventually ( prop_3 ) .",G ( prop_2 -> ( prop_1 U prop_3 ) ),G( prop_2 -> ( prop_1 U prop_3 ) ),True
14/40,It is always the case that while ( prop_3 ) and ( prop_1 ) then all of the following conditions hold : at a certain moment during the first 36 to 51 time units ( prop_2 ) and then uninterruptedly this condition should keep in the future before the execution ends .,"G ( ( prop_3 & prop_1 ) -> F [36,51] ( G prop_2 ) )","G( (prop_3 & prop_1) -> (F[36,51](prop_2) & G(prop_2)) )",False
14/41,"It is globally the case that if ( prop_2 ) and ( prop_3 ) then ( prop_1 ) should be true , and vice versa .",( G ( prop_2 & prop_3 ) <-> prop_1 ),G((prop_2 & prop_3) <-> prop_1),False
14/42,"On condition that the event that ( prop_3 ) is observed or ( prop_2 ) , then the following condition ought not to be true : ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> ! ( F prop_1 ) ),G((prop_3 | prop_2) -> !prop_1),False
14/43,when possible ( prop_1 ) or always ( prop_2 ),F ( prop_1 | G prop_2 ),F(prop_1) | G(prop_2),False
15/44,"(prop_1) is not true, and (prop_3) or (prop_2) should be true .",( ! prop_1 & ( prop_3 | prop_2 ) ),!prop_1 & (prop_3 | prop_2),True
15/45,"It is always the case that in case that ( prop_2 ) , or ( prop_1 ) , then the following condition is true : there must be eventually a time within the first 0 time units , at which ( prop_3 ) and then this condition shall continue all the time for each time point within the following 56 time units .","G ( ( prop_2 | prop_1 ) -> F [0,0] ( G [0,56] prop_3 ) )","G( (prop_2 | prop_1) -> F[0,0]( prop_3 & G[0,56](prop_3) ) )",False
16/46,Do not allow ( prop_1 ) to happen until the point at which ( prop_2 ) is equivalent to ( prop_3 ).,( ! prop_1 U ( prop_2 <-> prop_3 ) ),(!prop_1) U (prop_2 <-> prop_3),True
17/47,Everytime when ( prop_3 ) or ( prop_1 ) then the following condition is true : ( prop_2 ) .,G ( ( prop_3 | prop_1 ) -> prop_2 ),G((prop_3 | prop_1) -> prop_2),True
17/48,"It is always the case that if (prop_3), then (prop_2) if and only if at some point during 149 to 406 time steps, (prop_1) happens .","( ( prop_3 -> prop_2 ) <-> F [149,406] prop_1 )","G ( prop_3 -> ( prop_2 <-> F[149,406] prop_1 ) )",False
18/49,"Globally , everytime when ( prop_1 ) , then in response right away ( prop_3 ) , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
19/50,"In the case the scenario that ( prop_1 ) happens or ( prop_3 ) then the following condition holds : there ought to be a time in the future before the end of the simulation finally , after which ( prop_2 ) and then this condition needs to consistently sustain in the future .",G ( ( prop_1 | prop_3 ) -> F ( G prop_2 ) ),G( (prop_1 | prop_3) -> F(prop_2 & G(prop_2)) ),True
20/51,"When the scenario that ( prop_1 ) occurs then the following condition is true : ( prop_3 ) , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
20/52,at some time ( prop_1 ) and always ( prop_2 ),F ( prop_1 & G prop_2 ),F(prop_1) & G(prop_2),False
21/53,"It is always the case that when ( prop_2 ) , and ( prop_3 ) then the following condition holds : ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
21/54,"As soon as ( prop_1 ) , and the scenario that ( prop_3 ) happens , then the following condition holds : for each moment in the coming 17 to 33 time units ( prop_2 ) .","G ( ( prop_1 & prop_3 ) -> G [17,33] prop_2 )","G((prop_1 & F(prop_3)) -> G[17,33](prop_2))",False
21/55,"Do not (prop_2), or do (prop_1) until (prop_3) within 5039 to 14930 timesteps .","( ! prop_2 | ( prop_1 U [5039,14930] prop_3 ) )","(!prop_2) | (prop_1 U[5039,14930] prop_3)",True
22/56,"Globally , everytime when ( prop_2 ) , then in response simultaneously ( prop_1 ) and ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G( prop_2 -> ( prop_1 & prop_3 ) ),True
23/57,"In any order, make sure to (prop_1).",F prop_1,F prop_1,True
24/58,when possible ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),F (prop_1 | prop_2),True
25/59,"Globally , whenever ( prop_3 ) , and ( prop_1 ) then in response ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
26/60,( prop_1 ) and ( prop_2 ),( prop_1 & prop_2 ),prop_1 & prop_2,True
27/61,"It is always the case that if the event that ( prop_1 ) takes place , then the following condition is true : ( prop_2 ) and ( prop_3 ) .",G ( prop_1 -> ( prop_2 & prop_3 ) ),G ( prop_1 -> ( prop_2 & prop_3 ) ),True
27/62,It is always the case that when ( prop_2 ) and ( prop_1 ) then in response the condition that ( prop_3 ) should n't be true .,G ( ( prop_2 & prop_1 ) -> ! ( F prop_3 ) ),G((prop_2 & prop_1) -> !prop_3),False
27/63,"If ( prop_2 ) or ( prop_3 ) , then all of the following conditions hold : promptly ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),"G((prop_2 | prop_3) -> F[0,1] prop_1)",False
28/64,"Globally , in case that the transition action that ( prop_2 ) occurs , then the following condition is true : promptly ( prop_3 ) , and ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
28/65,"Either (prop_2) and (prop_1) happen at the same time, or else make (prop_3) happen in the next 420 to 423 time units .","( ( prop_2 & prop_1 ) | F [420,423] prop_3 )","G((prop_1 & !prop_2) | (!prop_1 & prop_2) -> F[420,423](prop_3))",False
29/66,In the case the scenario that ( prop_2 ) is observed then ( prop_3 ) and ( prop_1 ) .,G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
29/67,at some time ( prop_1 ) or repeatedly ( prop_2 ),F ( prop_1 | G ( F prop_2 ) ),F(prop_1) | G(prop_2),False
29/68,"(prop_3) is equivalent to (prop_2), and hold (prop_1) after 6807 time units .","( ( prop_3 <-> prop_2 ) & G [6807,infinite] prop_1 )","F[6807,6807](prop_1) & (prop_3 <-> prop_2)",False
29/69,"Over the time period of 274 to 633 time units ( prop_1 ) should happen , or the scenario that ( prop_2 ) is detected , then ( prop_3 ) should be true .","( ( G [274,633] prop_1 | prop_2 ) -> prop_3 )","F[274,633](prop_1) | (prop_2 -> prop_3)",False
29/70,"When ( prop_3 ) or the event that ( prop_2 ) gets detected , then the following condition holds : ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> G prop_1 ),G( (prop_3 | prop_2) -> prop_1 ),False
30/71,It is always the case that everytime when the event that ( prop_1 ) takes place then all of the following conditions are true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
30/72,whenever ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
30/73,whenever ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G ( prop_1 | prop_2 ),False
30/74,"If ( prop_3 ) then ( prop_2 ) , and ( prop_1 ) , then ( prop_4 ) .",( ( ( prop_3 -> prop_2 ) & prop_1 ) -> prop_4 ),G( ((prop_3 -> prop_2) & prop_1) -> prop_4 ),False
31/75,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
31/76,whenever ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | F prop_2 ),False
32/77,"It is always the case that when ( prop_3 ) or ( prop_1 ) , then the following condition holds : ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G( (prop_3 | prop_1) -> prop_2 ),True
32/78,"Globally , whenever ( prop_1 ) or the event that ( prop_3 ) is n't detected then all of the following conditions hold : simultaneously ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G( (prop_1 | !prop_3) -> prop_2 ),False
33/79,"It is always the case that if the scenario that ( prop_1 ) gets detected , then all of the following conditions hold : simultaneously ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
33/80,"If (prop_2) happens, then keep it true until (prop_1) happens in the next 6667 to 12100 time steps, or else if (prop_3) is not true .","( ( prop_2 U [6667,12100] prop_1 ) | ! prop_3 )","(prop_2 -> ((prop_2 U (F[6667,12100] prop_1)) | !prop_3))",False
33/81,at some time ( prop_1 ) or at any time ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1) | G(prop_2),False
33/82,At some point during the 440 to 603 time units it should be the case that ( prop_3 ) implies ( prop_1 ) and ( prop_2 ) .,"F [440,603] ( ( prop_3 -> prop_1 ) & prop_2 )","F[440,603] ( prop_3 -> ( prop_1 & prop_2 ) )",False
34/83,"During the interval that ( prop_3 ) , and ( prop_1 ) , then at the same time ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
35/84,"It is always the case that when ( prop_2 ) , or the scenario that ( prop_1 ) is detected , then in response ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> prop_3),True
36/85,Whenever ( prop_2 ) and ( prop_1 ) then all of the following conditions hold : at the same time point ( prop_3 ) .,G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> prop_3),True
36/86,Everytime when the event that ( prop_3 ) is observed then the following condition holds : at the same moment ( prop_1 ) or promptly ( prop_2 ) .,G ( prop_3 -> ( prop_1 | prop_2 ) ),"G( prop_3 -> ( prop_1 | F[0,1] prop_2 ) )",False
37/87,When ( prop_1 ) or ( prop_2 ) then the following condition is true : ( prop_3 ) .,G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
38/88,It is always the case that when ( prop_3 ) or the scenario that ( prop_2 ) happens then in response ( prop_1 ) .,G ( ( prop_3 | prop_2 ) -> prop_1 ),G((prop_3 | prop_2) -> prop_1),True
39/89,"During the interval that ( prop_2 ) and ( prop_3 ) then the following condition holds : finally there will be a certain moment in the future before the execution ends , at which ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> F prop_1 ),G( (prop_2 & prop_3) -> F(prop_1) ),True
40/90,If ( prop_2 ) and ( prop_3 ) then ( prop_1 ) .,G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
41/91,when possible ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),F (prop_1 | prop_2),True
42/92,"It is always the case that in case that ( prop_2 ) and ( prop_1 ) then in response there will have to ultimately exist a certain time point in the future before the end of the execution , after which ( prop_3 ) and this scenario always lasts in the future before the simulation ends .",G ( ( prop_2 & prop_1 ) -> F ( G prop_3 ) ),G((prop_2 & prop_1) -> F G(prop_3)),True
43/93,"If (prop_3) occurs and (prop_2) happens, this is the same as if you did (prop_1) until (prop_4) .",( ( prop_3 & prop_2 ) <-> ( prop_1 U prop_4 ) ),(prop_3 & prop_2) <-> (prop_1 U prop_4),True
43/94,"It is equivalent to have ( prop_3 ) if ( prop_4 ) , ( prop_2 ) , or ( prop_1 ) .",( ( ( prop_3 | prop_4 ) | prop_2 ) <-> prop_1 ),((prop_4 | prop_2 | prop_1) <-> prop_3),False
44/95,"Globally , in case that the scenario that ( prop_3 ) is observed , then the following condition is true : at the same time ( prop_2 ) or ( prop_1 ) .",G ( prop_3 -> ( prop_2 | prop_1 ) ),G ( prop_3 -> ( prop_2 | prop_1 ) ),True
45/96,"It is always the case that if ( prop_3 ) , and ( prop_2 ) , then the following condition holds : at the same time ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
45/97,"If ( prop_3 ) then ( prop_2 ) happens , or else for each time instant in the next 1419 to 3231 time units ( prop_1 ) is true .","( ( prop_3 -> prop_2 ) | G [1419,3231] prop_1 )","((prop_3) -> (prop_2)) | G[1419,3231](prop_1)",True
45/98,"There has to be a certain time instant during the subsequent 40 to 75 time units eventually, at which ( prop_2 ) happens, given that either ( prop_1 ) or the event ( prop_3 ) doesn't get observed.","G ( ( prop_2 | prop_1 ) -> F [40,75] prop_3 )","((!prop_3 | prop_1) -> F[40,75] prop_2)",False
45/99,"If (prop_2) and (prop_3), then at some point during the next 240 to 531 time units, (prop_1) should happen .","( ( prop_2 & prop_3 ) -> F [240,531] prop_1 )","G((prop_2 & prop_3) -> F[240,531](prop_1))",False
45/100,"when ( prop_1 ) , at some time ( prop_2 )",( prop_1 -> F prop_2 ),G ( prop_1 -> F prop_2 ),False
